name,type,latitude,longitude,zone
Location 0,hospital,37.432842106328884,-122.49261530144322,Zone A
Location 0,hospital,37.432842106328884,-122.49261530144322,Zone B
Location 0,hospital,37.432842106328884,-122.49261530144322,Zone C
Location 0,hospital,37.432842106328884,-122.49261530144322,Zone D
Location 1,fire_station,37.622745387421055,-122.31881930416176,Zone A
Location 1,fire_station,37.622745387421055,-122.31881930416176,Zone B
Location 1,fire_station,37.622745387421055,-122.31881930416176,Zone C
Location 1,fire_station,37.622745387421055,-122.31881930416176,Zone D
Location 2,hospital,37.76062730813558,-121.53620557090734,Zone A
Location 2,hospital,37.76062730813558,-121.53620557090734,Zone B
Location 2,hospital,37.76062730813558,-121.53620557090734,Zone C
Location 2,hospital,37.76062730813558,-121.53620557090734,Zone D
Location 3,hospital,37.770474544182875,-121.84106418208799,Zone A
Location 3,hospital,37.770474544182875,-121.84106418208799,Zone B
Location 3,hospital,37.770474544182875,-121.84106418208799,Zone C
Location 3,hospital,37.770474544182875,-121.84106418208799,Zone D
Location 4,hospital,37.777302930754935,-122.1122063788773,Zone A
Location 4,hospital,37.777302930754935,-122.1122063788773,Zone B
Location 4,hospital,37.777302930754935,-122.1122063788773,Zone C
Location 4,hospital,37.777302930754935,-122.1122063788773,Zone D
Location 5,hospital,37.74820293591574,-122.37647474348226,Zone A
Location 5,hospital,37.74820293591574,-122.37647474348226,Zone B
Location 5,hospital,37.74820293591574,-122.37647474348226,Zone C
Location 5,hospital,37.74820293591574,-122.37647474348226,Zone D
Location 6,fire_station,37.585987909940165,-121.75048078263079,Zone A
Location 6,fire_station,37.585987909940165,-121.75048078263079,Zone B
Location 6,fire_station,37.585987909940165,-121.75048078263079,Zone C
Location 6,fire_station,37.585987909940165,-121.75048078263079,Zone D
Location 7,shelter,37.31712016106061,-122.18011573516844,Zone A
Location 7,shelter,37.31712016106061,-122.18011573516844,Zone B
Location 7,shelter,37.31712016106061,-122.18011573516844,Zone C
Location 7,shelter,37.31712016106061,-122.18011573516844,Zone D
Location 8,shelter,37.30361704541002,-122.44485522611548,Zone A
Location 8,shelter,37.30361704541002,-122.44485522611548,Zone B
Location 8,shelter,37.30361704541002,-122.44485522611548,Zone C
Location 8,shelter,37.30361704541002,-122.44485522611548,Zone D
Location 9,fire_station,37.14690036989061,-121.71987292927183,Zone A
Location 9,fire_station,37.14690036989061,-121.71987292927183,Zone B
Location 9,fire_station,37.14690036989061,-121.71987292927183,Zone C
Location 9,fire_station,37.14690036989061,-121.71987292927183,Zone D
Location 10,hospital,37.96124418786478,-121.58502909000188,Zone A
Location 10,hospital,37.96124418786478,-121.58502909000188,Zone B
Location 10,hospital,37.96124418786478,-121.58502909000188,Zone C
