sensor_id,timestamp,latitude,longitude,sensor_type,reading_value,status,geometry,zone
1271,2023-01-01 00:00:00,37.36766101828665,-121.83022840034089,humidity,78.76642954394985,faulty,POINT (-121.83022840034089 37.36766101828665),Zone C
1724,2023-01-01 00:05:00,37.507471769455,-121.56888398448032,humidity,20.295671977438666,active,POINT (-121.56888398448032 37.507471769455),Zone C
1129,2023-01-01 00:08:00,37.24315398395107,-122.3394651970294,humidity,50.51619119964348,active,POINT (-122.3394651970294 37.24315398395107),Zone C
1601,2023-01-01 00:12:00,37.75176491755365,-122.40165010898616,temp,48.97854118617322,inactive,POINT (-122.40165010898616 37.75176491755365),Zone C
1750,2023-01-01 00:15:00,37.963195572839865,-122.37682523684288,humidity,44.84684024984607,active,POINT (-122.37682523684288 37.963195572839865),Zone C
1158,2023-01-01 00:19:00,37.95013606337166,-121.98099606799232,flood,49.43686407114326,active,POINT (-121.98099606799232 37.95013606337166),Zone C
1515,2023-01-01 00:25:00,37.00700944878537,-121.81441369347638,temp,99.83882172278057,inactive,POINT (-121.81441369347638 37.00700944878537),Zone C
1378,2023-01-01 00:26:00,37.79135440408084,-122.4074959991188,seismic,12.83029347338742,faulty,POINT (-122.4074959991188 37.79135440408084),Zone C
1299,2023-01-01 00:29:00,37.271122467861765,-121.67628242814602,temp,60.39437825351669,inactive,POINT (-121.67628242814602 37.271122467861765),Zone C
1227,2023-01-01 00:30:00,37.521603481978254,-122.36406118169856,temp,31.2431409772727,inactive,POINT (-122.36406118169856 37.521603481978254),Zone C
1248,2023-01-01 00:33:00,37.90045835040425,-121.72664505496456,humidity,25.224614532441212,inactive,POINT (-121.72664505496456 37.90045835040425),Zone C
1964,2023-01-01 00:45:00,37.27589670917602,-122.28393935431686,temp,94.60738223202416,active,POINT (-122.28393935431686 37.27589670917602),Zone C
1574,2023-01-01 00:58:00,37.43732088724202,-122.31137459510822,temp,63.85503325241362,active,POINT (-122.31137459510822 37.43732088724202),Zone C
1875,2023-01-01 01:00:00,37.69543334417363,-122.31313966693187,seismic,19.257882603190744,active,POINT (-122.31313966693187 37.69543334417363),Zone C
1605,2023-01-01 01:01:00,37.95405826368829,-122.3778366786032,flood,10.456378938998313,inactive,POINT (-122.3778366786032 37.95405826368829),Zone C
1354,2023-01-01 01:06:00,37.47570691488305,-122.07291239437154,flood,51.28334460830624,faulty,POINT (-122.07291239437154 37.47570691488305),Zone C
1889,2023-01-01 01:10:00,37.19869720844492,-121.62258822358127,seismic,83.22423364486903,inactive,POINT (-121.62258822358127 37.19869720844492),Zone C
1131,2023-01-01 01:12:00,37.0446201104425,-121.74502471542448,seismic,83.35760106437414,faulty,POINT (-121.74502471542448 37.0446201104425),Zone C
1798,2023-01-01 01:15:00,37.25806409407137,-121.9751333049438,humidity,11.857265901747128,inactive,POINT (-121.9751333049438 37.25806409407137),Zone C
